transaction_id,customer_id,transaction_datetime,transaction_amount,merchant_id,merchant_category,merchant_country,merchant_name,is_fraudulent
3f95d8f2-ae9f-4884-8b3f-7053243b87c8,b8520c7c-d7c2-41cb-8a06-c1eba5558cec,2023-03-26 06:36:06,2031.717083073249,68e07f64-4449-4e0d-862f-6a518388470f,"Pilot, airline",Martinique,"Allen, Santana and Johnson",0
3aaed7cf-da01-4a93-8d4d-39294d324e8c,de880216-b0ca-437e-adfc-af2e12075dd8,2023-03-27 15:57:22,7447.088763121638,81e8dead-f4ef-4d72-8d44-209931238dbb,"Scientist, audiological",Bahrain,Savage-Zimmerman,0
ea049d7a-ee4f-4026-a441-9091108c43a6,1ce09990-385d-4431-82dc-a4deb0c6b2f7,2023-03-06 02:10:55,1426.4774130405167,2db80930-8f6b-440e-bfc7-2c5309134f45,Pharmacologist,Nauru,"Johnson, Silva and Rose",0
18cb0a34-6960-4167-b678-115cbc9aa54b,891c6dae-9d32-4d1c-a626-593c6de30d05,2023-03-02 00:40:03,8206.34207578169,388554b5-fe01-436e-b893-6f8affc65ccc,Adult nurse,Niue,Jefferson Ltd,0
ba495f25-8f50-42aa-a6de-5605204f3f18,f0fdce33-874c-4bf4-bdb3-a48d53ec4a4d,2023-03-10 11:38:00,1449.6491071763328,0f30425a-b4f4-4183-b95b-766c750c5051,Publishing rights manager,Nauru,"Mcgrath, Smith and Howell",0
5e63a2bf-0ea1-4944-a94a-76d798a013f6,3f830683-30e9-409f-a46b-fed04f2cc96e,2023-03-15 10:22:14,8448.142736991384,e2c5a4c2-0a4c-4a6f-bb5a-54d9cb78025a,Art therapist,Nauru,Jenkins-King,0
448d2670-d4c3-4f20-b10a-a1f5ffdabaf5,ef9de64e-b2b6-4f72-8bbb-66f583d987e9,2023-03-16 11:51:06,7383.699126474606,2a0d921f-7bf2-402c-bff1-643ea5d8f1ba,Leisure centre manager,Macedonia,Conley Ltd,0
49986121-516b-4047-935a-6524b615ccbb,dff6ad44-165e-4ec7-89d6-01eec2ad014e,2023-03-03 04:33:34,8229.255349893268,82ae8e3b-c2ff-4426-b6e2-6822b2a75bbb,Exhibition designer,Palau,Olson and Sons,0
30fe7301-3ad7-4448-8562-8bc571fbe5bb,3d1b2870-0f6d-4768-8eed-b5c0871b49e7,2023-03-17 17:58:52,6033.335858357916,a1045155-25aa-4b6f-8305-d752aa47de66,"Sales professional, IT",Papua New Guinea,Bender PLC,0
cf6654c2-c43b-410d-a8bc-469595602ff9,72a7c381-c363-4f59-8a57-f9abb273ad8c,2023-03-09 22:58:51,2331.366660931874,c370003b-b3e1-4764-b080-7a424d7934b7,Recruitment consultant,Nepal,Barnett-Miller,0
9c68adc8-61bb-40f8-9f81-0716c469490a,94bd4986-7a44-4a48-84a5-9fc051ae9f7d,2023-03-24 04:03:55,9499.326990713742,4cebf108-5cf8-4578-b01b-4ebe278c7c6b,Contractor,Maldives,Nelson Ltd,0
ab65d538-1f8c-4dd4-a3bf-fe23f347eac9,fd9ac865-ee91-44dd-a3b4-e11ee6910fb8,2023-03-23 09:25:36,3455.412360092784,1dcfbdeb-b787-4068-96ae-591db23feaf7,"Scientist, research (maths)",United States Virgin Islands,Clark-Lyons,0
889b1450-27db-4d88-b5cc-da3c25bceb33,34bb9312-5316-4263-aadb-c358caec367a,2023-03-24 19:37:39,5825.74787801519,1ce61696-81d1-41a4-a47b-ab51b20467f9,Product manager,Cook Islands,Horton and Sons,0
9c638e5f-c67c-4300-bb26-a62411e1fcd2,a61e437d-4f02-494b-9f5f-974de3b413ff,2023-03-27 18:20:29,6205.14282913541,d4de6017-5e23-4e03-a4c5-b84ce4362ecf,"Designer, exhibition/display",Kiribati,Reeves PLC,0
6a46b776-b3bb-4a93-abcc-0a88a740fcc7,97877a8f-d936-4fa2-9585-5a5a88572186,2023-03-23 21:25:27,147.42512577861964,a709e811-68e9-4eda-b0c7-19f30392afae,Ambulance person,Nicaragua,Powers-Chambers,0
8b980e42-ae91-4794-b346-fc2d24a0d51c,7ef2dd9d-5e42-4415-9c93-ecde53609f03,2023-03-19 10:32:53,9501.986041359605,fd731c4b-10f5-450c-8ecb-61dddd01170f,"Journalist, broadcasting",Togo,Martin-Schultz,0
50ce7fa7-a2a7-4476-b3fd-761edcb956c5,a95b6ea5-4f64-466d-9029-d42dcf87b437,2023-03-16 13:58:05,7654.1871905784665,b30d0394-e5da-44f7-8c69-bbdf1f20518d,Commercial horticulturist,Bhutan,Griffin LLC,0
a16ea3eb-6464-4faf-9b5d-09a0b74daa51,ac9229c3-68a2-4643-8ab6-8d9287175e0d,2023-03-04 23:22:39,4686.602999963298,86ad769a-cd97-4009-b441-b307e8878860,Risk analyst,Faroe Islands,Esparza-Moss,0
